participantId,evid_100w_mean,num_100w_mean,prop_100w_mean,wc_mean,demand_composite
B5EEA43994834610923448E638FDDCBD,1.288418446259193,0.8214672496089207,11.278641106190676,474.6666666666667,1.0135156341078662
AA175CE8F0784E7C93E27E10F6467F98,3.106842391450939,0.0,7.867460487756792,439.0,0.962310727324855
,0.78650729698272,0.8790849673202615,5.278359745724774,399.3333333333333,0.12087884461247518
0B88803070B24C55BACFF1F753044E2F,2.261549769778973,0.0,4.519829983062222,347.6666666666667,0.30819608260635084
B894168E847E427A8C94523F7C3FD43B,1.2413801167608074,1.546335757008442,6.9521086773909815,409.0,0.5420322629631863
286F7353F1AE4795AE41962A57CF2D98,3.187774246813491,0.4095004095004095,7.151217136331636,349.6666666666667,0.9451820672198931
868FBA41BEAB45E39746C28BA1CCD974,0.7960149604474895,0.7207681050373411,5.821920495273747,372.6666666666667,0.17246972565774613
FA5AE8A8FF3B4494B3E47C5CFBE56EE3,2.142672807662024,0.0,5.344443478879136,359.6666666666667,0.38137553811047925
6E11F1F8B0494CC78EDD4CE23EBB73DA,0.9767170644341704,0.3773584905660377,5.504782633226488,359.0,0.13664619529610797
96824F311E8C41308F5FFAFE389931D1,0.8264955101189856,0.0,4.259640609368659,369.0,-0.11082556178590752
64F6E2F3CD7A439380E288DA3E2F5E91,0.5646074173992955,0.0,3.424723158787217,387.3333333333333,-0.28769597398977426
4EC885F838D2405E94596A6944A5C704,0.14781966001478197,0.0,4.70863306200492,483.6666666666667,-0.236053969310277
29A31BF2B9C34743BA1034C4780FE27B,2.3777039111252916,0.0,9.694276894951264,503.6666666666667,0.9991934732848198
FC0A2CD7495F49A68934E3AF7939572F,0.7125798732071019,0.3537211298722829,6.331840921602725,439.0,0.16805422748819673
98CEBB245CC64B34B95712FED358D4C0,0.5998286203941731,0.0856898029134533,6.4856189244678175,347.3333333333333,0.12302525909391282
DA8263D613664C1BA4E032C55A886351,1.3158343581963607,0.9584937954642706,6.829657291788229,371.0,0.47116616000657974
CA98DF2B2520492582DF61C632CEE275,1.3330771482945396,0.621248719074806,6.20816312820482,279.0,0.3533754246827248
BE2747F319524D8EBA46EBA1941F9DF3,3.6352791346262356,0.30721966205837176,4.4510003062984635,310.6666666666667,0.7081163437272314
5A606E625C384C9AB48B2DE67C6DEED5,0.24946236559139787,0.0,5.622712152858359,419.0,-0.09217560494305006
0C8DAAF0BDE74D6482EC557F33586F18,2.2902126236263363,0.060496067755595885,6.358932963740517,545.3333333333334,0.5581435326150023
55AD4C5714D94B54863A6AB83BA23894,2.9496732234897034,1.6619978221343616,7.440294953954414,500.6666666666667,1.0784011737748405
A5DD87C51D044489A83F3E76946D583E,4.806101309281373,1.0082487576411276,5.903273790827715,462.0,1.2978547130488693
B98C5880B2F24E41839CAABAD7DDA18E,3.201036427885065,0.6167696989634112,10.873643524104489,466.0,1.4499153908327023
E70C8ED79B9A4F7D878728C2D2B927F1,0.9820669321062713,0.9413966573683332,7.194863664179164,421.0,0.4258016820623179
AF3ADF2DA568403FA08AC9F65ECE5AD3,1.3983267499099188,0.0,4.865927374212205,461.3333333333333,0.12022845100769564
FF2C447A83B0498EAAEA8C001D2A1086,0.3886062661498708,0.0,3.3483030212681375,292.6666666666667,-0.3447617313058578
69EF627706AB4EDD8A60298BB67C21DD,0.8323049499520088,0.0,3.5266041148394094,385.6666666666667,-0.20272922893714407
71DE16EDC599481F8D8E6B3505295D13,1.3553572426121445,0.0,3.453326629797218,363.6666666666667,-0.07143821784129929
53E6FFB88A9D490DA1D270360AE0D622,1.5154628701027144,0.30193236714975846,6.017294948183981,401.6666666666667,0.3371896416778366
2270DFB8BCD94043BFF87245AAE79F3D,1.0407987226964277,0.16271743914020337,5.11489185462634,465.3333333333333,0.0766788007386987
4C4C4D76144D46538803AC9A0F3E382B,2.3110842950431327,1.341545863337631,4.791548745846566,326.6666666666667,0.5279414645939718
6E33511650414D8D89EB66E55518885F,0.2783576896311761,0.36710719530102787,7.005792476371785,364.3333333333333,0.1389500389306255
D458E31B550C4D3CAE8C537D4BF86527,1.1556484295846,0.8492344928515142,7.817406622347832,303.0,0.5400490102791153
