participantId,ic_conway
B79F050C4982475DAA8E0C3795F852CE,3.0
0B47AA52A87546219713EBE2AD7E32B6,2.0
8321302CECA448C6A436AC96834C0528,1.0
EE0AFF88B29D4E72A7FAA6488A72882C,2.25
C80265A09BE241BB99B9A7F60336E099,1.0
02FFED5FE7BA42D8B1F06CB410DDE9ED,1.5
C9E83081A2B34DB8A3979763CBD03EF6,2.5
996EC505B93C4829BF22C01ABC94A238,1.0
258A7DC25E814C7182E41571A6CA9DD4,4.25
B4AA8B7F825A4D2EA7E39EE97795CFB8,3.0
49B72D163C884C01A345E833E2AFCAC8,3.5
B96EBB03B066448BB18D71086DE87111,2.5
A8843C298B384E86BC1FD9BA5DC7CAAC,3.0
E4E06B4768E94EDBBD76DC40F2B1CE68,2.5
20BBD8537EB741D0908AFFF0683DE8FA,2.25
3A027EB458E1432AB5977770B373F0CB,1.0
12CB3ED72C0345718EC223414AFEAB6A,2.0
9970CAA29A03436584D85B9B71AD36C1,2.0
FD824EFB7F914FB49FE37E05862AC30B,2.25
6BE4FAF3EE8849D8859640F479F0B04E,3.0
3730294F3F5748E4B7FBEEF1666125B4,3.0
EC960DF6D8944A3496AE183595BC6BB7,2.5
928123C177764C5EBCE7B8FC8BA21F35,2.75
733D7662A52B4FE1BFF36A6769774315,1.0
66D203BE245D44F68D82D5421434275B,1.5
B3D1E56E0AEE412A9742B1D391812819,1.5
7B4017F0546B4E23850D17D0EDF54519,3.0
9404FA0A816C42A8A1E9DD4FD0AD497C,1.5
B1F62ECD989D43109011C5236FEE105E,3.0
71AEE38C92B24C568F612B9014229FF4,1.0
8ED709444ECE49CC96DD19F1144F60F6,3.0
84EF3A4660034354B098DECA683C4357,1.0
FC74ABCA167743B0AC4457D24944F40C,2.25
C141654FEFB142C58085CD6068C4CF62,1.0
DAD910A5861044E0B94A30EF076E791E,1.5
1DA0915ABC8A4FB58E4965733CE95B4A,2.5
D7A77D22CD9B47C1BD7FF7A3B084E140,2.5
7DEC8D6D874346979B9E1FE65E2A5F30,2.5
4CDE5D3489454DE98D5D34E450FCE083,2.0
12076B51DE264DD08FCA1D5AF1DF8DFC,2.25
AA0BF842F70841AC8023503CAAEF6087,1.25
25B446F37B594F00991A49CF11ECAD26,2.0
8F3C5B71E1134358848BA1C97F575BA3,1.5
681DA7A2B9EE486B9EC77A10350C0E30,1.5
BF3212246B9A4B0C8524ADBC588162B3,1.0
6FB40C2DB4FE416097B825ACC27076AD,3.0
C47FE78AD92947C1998D8010861497BA,2.25
F14043519CF144B59A222E724B53C79D,1.0
85493123E543447A9BFA4F4A0CC1FA5B,2.0
EA7005BC49214A0EA29DB1CFB937AF13,3.5
11F1E2B4FF8A4E4FA5665AAC58516103,3.0
468663412E82440A8CA94360BB6691B3,1.75
67584B64014842B8B5C7A7F82BEACE16,2.5
AD5EB6696FC948BAAD07CEA96A935850,1.25
FF52B4EECA4545DFA5A77AD0FB802601,3.0
AD36BC7CA8EC47B6B462EC3AC7F8031B,3.0
969B0BA39CF74369A599117D2122E4D4,2.0
8DC6177071934591808625858B7E0260,1.0
B5D3266828CF4926BA60E8070CDD9E53,1.5
3678EC80BBA94660A2B26BB59329B1F9,3.0
B30309BB9F074F19AAFAE471FFE2BFFA,3.0
A8D6AD6A1BA14F7FAA1321F3284C3D3F,3.0
4CE6CD7ACB434B8D9D58AC7703636736,1.5
E8B0A6E592254AF1BB3A758752E979C0,1.25
88C36013A3DD4B3DACE88D3FF7F5FF58,3.0
6C878AE5E0E3432AB7D4E8CE62290944,3.0
2E8D9761DC7E461CB226FD8055BC576B,2.0
57493A2EE0D5490CAC50BB726D68336F,4.0
631EE9CF36BB403BA9554D986D6AADD1,2.0
58044DE6551C44B1B837C00135980489,2.5
AF863B4198FF48268C5A2CE11C3CE6DC,3.0
5105ADD2460247C7905BA2514F5F4F48,1.75
526173AE1F5440B086459713125547D1,2.5
F95BE75A79424C9FBFEAAD48ABB04882,2.5
AD1A091CDD424E159440A6E8F0436476,1.0
CA161E531ED643989E97A0E7E85515D9,2.75
