Var1,Var2,Var3,Paragraph
,,,"She is a government official, who is imposing religious rules in her office. She is breaking the First Amendment that claims government will not create laws prohibiting the freedom of religion. That is what she is doing. Creating a rule in a government office that forces other people to abide by HER religion. Basically saying the government view is the Christian view. That is a CLEAR violation of the Establishment Clause."
,,,Scared somebody might convert should they read the real mcCoy
,,,Clinton deer in headlights over trying to answer abortion question on #thisweek just now. Dems can't defend it. #prolife
,,,Only 22 states require that abortion clinics report complications. #prolife
,,,She is a HERO
,,,#StandWithPP Sign the petition: Tell Republican governors not to defund Planned Parenthood.  http://share.credoaction.com/145299952t?referring_akid=.3777763.k28QHO … via @CREDOMobile #p2
,,,#lgbt #homophobia #uniteblue Holy Bullies and Headless Monsters: Revealed - How #KimDavis got her #SOTU invite …http://holybulliesandheadlessmonsters.blogspot.com/2016/01/revealed-how-kim-davis-got-her-sotu.html#.VpWCgfURBdw.twitter …
,,,"Politicians are using false allegations to attack #PlannedParenthood & harm women. We aren't fooled, we #StandwithPP http://d.shpg.org/141874159t "
,,,Impeach the asshole.
,,,"Excuse me, if you don't think the field is tilted toward the Republican Party, you are dreaming. Everyone mentions Hillary's Wall Street speeches, but do you Really think that Wall Street wants her to win? All they want is to have the privilege of getting their phone call answered if she wins. A Democratic victory is the last thing that the rich and powerful want and if you believe that they are rooting for her, I have a credit default swap to sell you."
,,,"No Christian, nor anyone else, has the right to use power vested in them as a government official to deny access to government contracts to those who do not abide by their religious taboos."
,,,@GovMikeHuckabee if #KimDavis religious beliefs impede her from doing her job then she can quit & find a job more suitable plain & simple
,,,"When asked why profiling is not improper,  a Trump surrogate on CNN gave this meaningless retort this morning: ""If a 6' 2"" Caucasian comes into your neighborhood and you tell someone, that's profiling.""  Unfortunately, the interviewer did not point out that it is really ""describing.""

So we now know the intellectual level at which the Trump campaign is approaching the issue, paralleling that of several comments here."
,,,Satin?   I used to have a disco shirt of satin......
,,,Who else is getting sick of this lady???? I know I am....
,,,I put up a tree and decorations and lights around my front window just like everyone else.
,,,"she has the freedom to believe as she wants, but she still has to follow the laws of the country, she wants it both ways, she wants to exert her beliefs and rights while denying another theirs under the law, and Ron I am religious and straight, this isnt about beliefs its about the law, whether you like the law or not you must follow it"
,,,"Poor Fox, they hate losing the America they perceive as the one grandaddy lived in. Pledge under one god? I dont believe in a god so get off my back with the pledge"
,,,"I Remember when I was in the Navy (a 100 years after the Civil War)  just after the passage of the civil rights bill of LBJ, these sailors from the South always strutting and yelling ""the South will rise again"". I guess that is what they had in mind. Rise to the level of hate monger. When they are cut off the dole from the rest of us, they will sink back to their ante-bellum primitivel ways. Set them free from the rest of humanity."
,,,Way to warp twist and spin yet another story for self gain...
,,,@Hollywoodjn - I see. And PC is also the issue with Dylan Roof and the #PlannedParenthood shooting?
,,,"Well, you just put a little check box on the form ""Muslim, yes / no.""  Foolproof!!"
,,,.@SenPhilWilliams takes stand against @ACLU lawsuit over #prolife law http://wp.me/p6gXat-2Oe  #ALPolitics
,,,"Quitting=giving in. I don't agree with her stance, but its her right. If you don't stand for something, you will fall 4 nething. #KimDavis"
,,,"In 1648 Europe took concrete steps to reduce the power of the religious authorities in political affairs after the religious savagery of the Thirty Years War. That was followed by the European Enlightenment and enormous advances in the arts, sciences and political philosophy. Islam has never had a similar moderating period and Muslim clerics to this day are still politically empowered to interfere with the creative and intellectual expression and development of Muslim culture. Until that changes, the stagnation that has characterized the Islamic world for at least 500 years will continue."
,,,"Great poster. Thank you, FFRF."
,,,"She's a CLERK, fire her and move on.."
,,,Issuing the lisence is participating in the sin. You cannot force her to do it.
,,,#stopthesham https://twitter.com/pajiba/status/701770685815717888 …
,,,"RT ProChoiceLibera: #StandWithPP because #WeWontGoBack ! No #GOPPlannedShutdown
#PinkOut #UniteBlue #prochoice… http://ift.tt/1UCD0R1 "
,,,He is going to lose anyway. What does it matter what he thinks at this point.
,,,"Robert Eisenhauer: Just curious - how does one have a personal relationship with a being that one cannot hear, see or otherwise communicate with in any way? Answer: Not possible. Deluding oneself doesn't count."
,,,"Um, why are the Republican candidates campaigning against the President?  Didn't anyone tell them he's not running for a 3rd term?"
,,,"How would one dispute the cynical argument that here we have 4 RC justices carving out special privileges for Catholics? Would the protection of religious beliefs extend to Buddhists who didn't want to pay taxes to a government that through farm subsidies supported the slaughter of cattle, or to Jews who felt it violated their religious beliefs to support the marketing of pigs? Would the violation of moral principles argument extend to pacifists who didn't want to be implicated in drone killings, or Muslims who chose no to support the killing of innocent Muslims? Since he 4 justices seem prepared to overlook the testimony of scientists who dispute the underlying scientific arguments, perhaps science or even reason should not obtain. If religion trumps science and reason, would a religious madman who objected to paying taxes because say GW Bush was an alien be entitled to having his or her objections accommodated? One realizes of course, the answer to these questions are all no--and yet, that is my point. The definition of what kind of ""belief"" is privileged seems to fit the definition of Catholic belief.  <br/><br/>What of an even more cynical argument, that we have 4 relativist RC Republican justices who believe any argument might be persuasive given one's initial position, and therefore choose to sustain only those arguments that support other Catholics or Republicans? <br/><br/>But why should they have any say? Who needs a fair and impartial SC? Why not let ""The American people decide?"""
,,,"I'm weary of the 20 minutes of fame for this couny clerk in Kentucky.  Yes, I know her name but I am tired of seeing it.  What hypocrisy!  You're an elected official so if ""your right to believe"" interferes with the law of the land quit your job.  Evole and stop the hatred.  This is blatant ignorance and bias.  Nothing to do with this ugly mess is about God.  Love is love and they need to open their minds and hearts.  Truly a sad situation.  Huckabee is a lunatic.  He said ""we are not going to bow to one branch of the government because they said so!""  Really?   Do you mean the Supreme Court of the United States?  The law of the land is being manipulated by a politician who is using this platform for his campaign for President.  Corruption not conviction of beliefs.  God does not make mistakes... man does."
,,,"When someone says Clinton or Hillary, what comes to mind? Sacrifice? I didn't think so, unless you count fellow citizens."
,,,"I'm not a ""left"", so again, what's your point????"
,,,"If you aren't going to follow the law, there will be consequences. I don't know what's so hard to understand about that? Belief has very little to do with it. <br/><br/>For instance, I honestly, sincerely believe, from the depths of my heart, that I am a better person than Donald Trump, and am thus far more deserving of his fortune. And I could provide a whole boatload of bible verses to support that belief. <br/><br/>But If I march into his bank and attempt to take it, what does my belief matter in a court of law? You don't get to choose the laws you are going to follow because of your beliefs."
,,,"Many commentators have argued eloquently about the archaic (not to mention cruel in some cases) nature of the belief system inherent to this case. My question has to do with the slippery slope on the other side, because at its core it is not about ""religious"" exemptions but ""medical"" exemptions. If we take a reductio ad absurdum approach and say that a particular (fictitious) religious sect has a ""religious"" objection to cancer medication, are we to say that the employers of this sect have the power to deny any of their employees cancer care?<br/>If this sounds preposterous, we can also posit that the contraceptive exemption is also preposterous because it is a medication that is between a woman and her doctor."
,,,Shhhhh.  Let the miserable jerks shoot themselves in their dicks.
,,,The Bible is many pieces of paper that equal happiness. It offers Grace to any who freely share His greatest gift. Love. #KimDavis
,,,It was the responsibility of the airport to open a private room for him to quickly check and let him be on his way..
,,,#PlannedParenthood #StandWithPP #Prochoice IS #Prolife #abortion #UniteBlue #ShoutYourAbortion @ppact #ppfa #ppactpic.twitter.com/iRqOzR9P2y
,,,Such hard topic is religion but law truly is the law no body is above it respect it
,,,Excellent News! America’s birthrate for teenage mothers has hit a historic low. http://ow.ly/nYZp302CSIs  #ReproRights #LARC
,,,"""Abracadabra!""  ... and *POOF*"
,,,Don't give away her room. She'll be back.
,,,Myrtle Smith She's free to go any time if she issues licenses or resigns her job.  She's keeping herself there on her own stubbornness at this point.
,,,It worked for her to be a Dem when she wanted to legally be able marry & divorce whomever she wished with no legal interference or threats of damnation.  Isn't that ironic...
,,,where do you think the clerk is going to stand?
,,,Where is secularism and tolerance in Islam?
,,,"They operate a business.  They take federal money in the form of Medicare and Medicaid payments.  Ergo, they should obey the law like the rest of us. I am tired of subsidizing these religious nonprofits with my tax dollars, only to have them turn around and demand to be treated favorably."
,,,"Welcome to Virginia, the Alabama of the Mid-Atlantic."
,,,Follow #Patriot --> @shonnarobinson.  Thanks for following!!  #Truth #Liberty #Justice #2A #ProLife #ProIsrael #WakeUpAmerica #RiseUpAmerica
,,,This man is 'senior research fellow' at the Heritage Foundation.  Probably THE definition of oxymoron
,,,Video of #ProLife Speech by Brave Woman W/ #DownSyndrome Goes Viral: http://hmnco.link/1VECt6z  #savethebabyhumanspic.twitter.com/rCZXR2gKhG
,,,"Judy McCarthy and you in cell next to her,"
,,,@AsaHutchinson promised to be a pragmatist but has clearly shown that he isn't prepared to lead. #arpx #StandwithPP pic.twitter.com/FruCLDytiu
,,,I've heard the antipope prophesy applied to every single pope in my lifetime. Give it up already.
,,,It's about time our church did open the door widely and give us some slack.. Hope more change on the way.. Viva Papa  Francisco!
,,,Not one Lesbian would lick her ! Too ugly inside and out !
,,,Bshit was batshit crazy
,,,"#PlannedParenthood muders and sells dead baby parts. No moral compass. Of course they'd blame this on ""toxic masculinity."" Shame"
,,,#GOP no abortion u were raped 2bad. U need #PlannedParenthood 4 prenatal care 2bad. Ur kids r hungry 2 bad no aide. https://twitter.com/AdamsFlaFan/status/651211403081052160 …
,,,"No, my kids go to school to learn to read and write etc. I take them to MY church for them to learn about our God. The public school system is in such a disarray why would I trust them with my belief system."
,,,That's not what's happening. She's in jail for breaking federal law. #KimDavis https://twitter.com/SecularSmeghead/status/639714621792907264 …
,,,"When you said dog and cat meat I thought you meant the stuff you feed them with (not me, I use Royal Canin for my dogs........and the cats clear the local wildlife)."
,,,Catholic. abuse.
,,,May God bless us all Amen .
,,,"The consequences are not unexpected and they've been repeatedly examined throughout the course of our history.  As Justice Scalia wrote, ""We have never held that an individual's religious beliefs excuse him from compliance with an otherwise valid law prohibiting conduct that the State is free to regulate. On the contrary, the record of more than a century of our free exercise jurisprudence contradicts that proposition. . . .  The mere possession of religious convictions which contradict the relevant concerns of a political society does not relieve the citizen from the discharge of political responsibilities."""
,,,"@BBCScotlandNews in other news, multi-million pound companies are selling human baby parts... #PlannedParenthood pic.twitter.com/Y9shVEWoiC"
,,,"Good riddance, hypocrite."
,,,"Given that 11 million undocumented immigrants are defying the law, with the support of Mr. Obama and many ""enlightened"" cities, jailing Ms. Davis  is ridiculous.  She is wrong but her punishment is even more wrong than she is."
,,,"Only Democrats are allowed to use their govt positions on others!! #KimDavis #FreeKimDavis
#tcot #RedNationRisingpic.twitter.com/Efyf9JX6ZU"
,,,Fortunately in matters like this everyone could think that and it just wouldn't matter. It will be won or lost in the SCOTUS. There are many appeals coming. Right or wrong the peoples opinion does not matter until election time. And then only in her county which will probably reelect her if she runs.
,,,#SCOTUS to decide biggest #abortion case in decades - sign @PPFA's letter now: http://d.shpg.org/170525271t  #ReclaimRoe #HB2 #Roe43 #WeWontGoBack
,,,happy bday lolo kiko..
,,,"Is it a private doctor's office?  If so, more power to him.  He has the right to put whatever he wants in his waiting room."
,,,happy birthday papa pope francis may god shower you more blessings and good health
,,,"She forgot Rule No. 1 about Democrats. You are not permitted to have your own opinions. You belong to the party and will think whatever the leaders tell you to. She should be an Independent, since she has independent thoughts but isn't Republican material."
,,,Contact iConnectAmerica 4 help. RT Follow @iConnectAmerica #tcot #2A #SelfGovernance #ReligiousLiberty #TeaPartypic.twitter.com/qLFjMlVByx
,,,"@UniteWomenOrg: Est. 516,000 PREVENTED unintended pregnancies by PP contraceptive services each year @UniteWomenLA #pbsnews #StandWithPP"
,,,"Pro Life Day
#NationalDayOfSilence #ProLife #LifeisLife #SaveALife  https://instagram.com/p/9FWYegxPn6rujAZezjMbqRFZKSM6zqZ1HUHp00/ …"
,,,"Who else is she going to deny marriage licenses to based on her religious beliefs?  There could be quite a number of other situations where she may decide that a male and female should not be able to marry, either.  For example, the Catholic Church doesn't believe that married couples should be able to divorce and remarry.  So if she were Catholic does that mean she'd feel justified in denying a marriage license to someone who is divorced?    That's the problem.  That's not her job.  She did have recourse available to her.  She could have quit her job in protest and let everyone know about it if that's how she feels.  She is just a clerk, too.  It's not a position that really involves discretionary decisions to begin with, as may be the case with a county prosecutor, etc.  Clerks follow procedure.  They don't make up their own."
,,,"""Had same-sex marriage come to Kentucky through the Legislature, lawmakers could have simultaneously created religious liberty protections and reasonable accommodations for civil servants.""<br/><br/>Yup. Just change the words ""same sex marriage"" to ""slavery"", ""woman's right to vote"", or ""civil rights"" and these exactly the words of those who fought for slavery, male only voters, and the continued violent oppression of people based sole on the color of the skin."
,,,"If you wants to act under YOUR Gods authority then maybe you should find a Job with YOUR God, if you are a public servant then you are morally obliged to do your job according to your job description, and if you got a problem with that just get out of the way and resign. Your job is not to be the moral compass of your fellow human beings, you are a pompous and self righteous ass.."
,,,"Even animals don't practice gay lifestyle. It takes demonized humans to go against anatomical restrictions to be a gay. If all were gay, how do you raise the next generation of gay? In failing to seek spiritual and psychiatric remedy for the human aberration called homosexuality, the Americans and their likes have aborted civilization."
,,,"Of course, the author's solution would be ideal. But at the point the judge got the case, his only options were to require Ms. Davis to issue licenses or allow a county to opt of its duty to issue marriage licenses. He chose the former, and Ms. Davis disobeyed the order of the court. Was the judge supposed to ignore the contempt or just fine Ms. Davis knowing that the fine would be paid  by others?"
,,,"Don't defund Planned Parenthood, @SusanWBrooks, @SenDanCoats, and @SenDonnelly! #StandwithPP @PPact http://WeTweet.org/PPact  @NPWF"
,,,Powerful #ProLife statement! @warriors_mom https://twitter.com/seanmdav/status/747473763323777030 …
,,,iam catholic and i found this interesting  :D
,,,Girl with Down Syndrome posts letter to doctor who wanted parents to abort her http://parkermyles.com/2016/06/07/girl-with-down-syndrome-posts-letter-to-doctor-who-wanted-parents-to-abort-her/ … #ProLife pic.twitter.com/XoYlUoUYEV
,,,W.Va. Democrat says he'll vote to end #PlannedParenthood aid http://www.dailymail.co.uk/wires/ap/article-3184216/W-Va-Democrat-says-hell-vote-end-Planned-Parenthood-aid.html?ITO=1490&ns_campaign=1490&ns_mchannel=rss … #ZippedNews http://www.zippednews.com/planned-parenthood …
,,,#prolife #prochoice #PraytoEndAbortion #shoutyourabortionpic.twitter.com/6Ayv38jG0l
,,,Proud of her.??? Proud of a person who can't do her job???
,,,"With the #SCOTUS on the line, and Roe v. Wade, we must remember in November! #prochoice #reprorights #votingmatterspic.twitter.com/RrIo5Fr6cF"
,,,"WRONG WRONG, Just like l'il KIm, if you don't like signing the marriage license, GET A NEW JOB.  Its your JOB, do your job or get OUT."
,,,#StopTheSham https://twitter.com/katie_speak/status/705036562283671552 …
,,,I never understood how any Christian could be a Democrat.
,,,March for Life today. How could you ever take a life that hasn't even been given a chance yet? #ProLife #MarchForLife
,,,"Good riddance, shitbag."
,,,You're right Kim.... that godless lot hates Christians and bend over for every godless radical known to man
,,,Amen . Praise you o lord.
,,,"“In every country and in every age, the priest has been hostile to liberty. He is always in alliance with the despot, abetting his abuses in return for protection to his own. It is error alone that needs the support of government. Truth can stand by itself.” Thomas Jefferson — in a letter to Horatio Spofford, 1814.Any priest any religion will for the rise of their religion lick the boots of the leader.No religious symbol should be put in a public area."
,,,its too bad she is standing alone and not supported by other christians
,,,Translation: “We want the #theocrats to run the country and call that #religiousliberty “
,,,"Yeah, right, considering all the harm done by the religions, deluded sob!"
,,,"He said people have a right to ""conscientious objection"", which everybody has. He didn't state at all that public workers should be allowed to use it as a crutch to stand behind and still collect a paycheck. He simply stated they have the right to their feelings and beliefs, not that he agreed with how certain people will excercise that right. Context does matter."
,,,That's big of them--they won't charge them for the contracted services they failed to provide. How about some damages?
,,,"Ok, they can't even claim it's the national motto with that one."
,,,#Kentucky stop allowing your representative to discriminate and be in contempt of court. #KimDavis needs to be jailed!
,,,1 thing we can agree on @JohnKasich is tough! Real inner strength needed 2 endure as he has. #balancedbudget #jobs #prolife #compassion
,,,"@RobertfromTN @wino75 @lbm215 Yup--in both cases it's about discrimination. BTW, who is supposedly pointing a gun at #KimDavis? #justasking"
,,,"And again Mike, the people can't call for an impeachment. The governor has already stated he will not call a special session for an impeachment as it would ""cost the tax payers hundreds of thousands of dollars"" so she must comply or stay in jail. Even if she resigns at this point, she still has to face the contempt of court charge."
,,,Happy birthday our great leader
